"","year","exporter","importer","product","value","quantity","description"
"113",2022,"Croatia","Italy","010392",25336.294,14886.06,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"114",2022,"Croatia","Lithuania","010392",71.215,46.24,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"115",2022,"Croatia","Montenegro","010391",27.859,16.2,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"116",2022,"Croatia","Montenegro","010392",83.757,40.016,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"117",2022,"Croatia","Netherlands","010310",0.234,0.189,"Swine: live, pure-bred breeding animals"
"118",2022,"Croatia","Netherlands","010391",933.925,492.114,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"119",2022,"Croatia","Netherlands","010392",4.145,2.296,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"120",2022,"Croatia","Romania","010392",2.132,3.691,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"121",2022,"Croatia","Serbia","010391",2076.408,800.81,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"122",2022,"Croatia","Serbia","010392",892.624,518.54,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"123",2022,"Croatia","Slovakia","010392",97.66,63.203,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"124",2022,"Cura̤ao","Armenia","010392",239.434,2.255,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"125",2022,"Cyprus","Netherlands","010310",0.008,0.008,"Swine: live, pure-bred breeding animals"
"126",2022,"Cyprus","Netherlands","010391",0.08,0.045,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"127",2022,"Cyprus","Netherlands","010392",0.565,0.234,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"128",2022,"Czechia","Austria","010391",945.59,491.591,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"129",2022,"Czechia","Belarus","010310",58.573,4.303,"Swine: live, pure-bred breeding animals"
"130",2022,"Czechia","Bulgaria","010310",979.714,297.489,"Swine: live, pure-bred breeding animals"
"131",2022,"Czechia","Bulgaria","010392",952.532,270.918,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"132",2022,"Czechia","Croatia","010310",106.001,18.325,"Swine: live, pure-bred breeding animals"
"133",2022,"Czechia","Croatia","010391",46.191,26,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"134",2022,"Czechia","Croatia","010392",86.685,57.9,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"135",2022,"Czechia","Germany","010391",1163.463,416.368,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"136",2022,"Czechia","Germany","010392",4499.989,3185.061,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"137",2022,"Czechia","Greece","010310",166.998,38.035,"Swine: live, pure-bred breeding animals"
"138",2022,"Czechia","Greece","010391",48.774,31.1,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"139",2022,"Czechia","Hungary","010310",188.22,52.768,"Swine: live, pure-bred breeding animals"
"140",2022,"Czechia","Hungary","010391",1613.746,1932.757,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"141",2022,"Czechia","Hungary","010392",7441.671,5603.087,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"142",2022,"Czechia","Italy","010310",163.743,55.94,"Swine: live, pure-bred breeding animals"
"143",2022,"Czechia","Lithuania","010310",7.811,0.769,"Swine: live, pure-bred breeding animals"
"144",2022,"Czechia","Malta","010310",41.898,9.561,"Swine: live, pure-bred breeding animals"
"145",2022,"Czechia","Netherlands","010310",0.132,0.073,"Swine: live, pure-bred breeding animals"
"146",2022,"Czechia","Netherlands","010391",1265.736,250.186,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"147",2022,"Czechia","Netherlands","010392",1736.449,986.925,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"148",2022,"Czechia","Poland","010310",134.464,44.303,"Swine: live, pure-bred breeding animals"
"149",2022,"Czechia","Poland","010391",48.645,17.445,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
