"exporter","importer","no_exported_animals","exporter_herd_size","rate_exp_to_imp","rel_p_exp_to_imp"
"Czechia","Croatia",4.40778508371385,1421820,3.10010063419691e-06,0.00464420018359647
"Czechia","Germany",126.064754946728,1421820,8.86643562101585e-05,0.132826339521831
"Czechia","Greece",1.27852298325723,1421820,8.99215782066105e-07,0.00134709759228384
"Czechia","Hungary",279.224371385084,1421820,0.000196385176312813,0.294200795234462
"Czechia","Italy",0.691594520547945,1421820,4.86414961491571e-07,0.000728688749179404
"Czechia","Lithuania",0.00506301369863014,1421820,3.56093858479283e-09,5.33457251253224e-06
"Czechia","Malta",0.153223744292237,1421820,1.07765922755509e-07,0.000161442023115559
"Czechia","Netherlands",44.5476060882801,1421820,3.1331396441378e-05,0.0469369527880104
"Czechia","Other",0.155788127853881,1421820,1.09569515025728e-07,0.000164143949453075
"Czechia","Poland",65.3073722983257,1421820,4.59322363578552e-05,0.0688101857639884
"Czechia","Portugal",0.0630356164383562,1421820,4.43344561465981e-08,6.64165824504014e-05
"Czechia","Romania",41.3265537290715,1421820,2.90659533056727e-05,0.0435431366935547
"Czechia","Serbia",0.110294063926941,1421820,7.7572452157756e-08,0.000116209774798619
"Czechia","Slovakia",338.360842313546,1421820,0.00023797727019844,0.356509098367928
"Czechia","Slovenia",0.00090958904109589,1421820,6.39735719778798e-10,9.58375581255792e-07
"Denmark","Albania",2.01735159817352,11583000,1.74164862140509e-07,5.06765604310343e-05
"Denmark","Austria",12.5085613394216,11583000,1.07990687554361e-06,0.000314219328547595
"Denmark","Belarus",4.10656316590563,11583000,3.54533641190161e-07,0.00010315826781474
"Denmark","Belgium",45.7008465753425,11583000,3.94551036651493e-06,0.00114802085829838
"Denmark","Bulgaria",6.96850076103501,11583000,6.01614500650523e-07,0.000175051116647206
"Denmark","Croatia",522.569484018265,11583000,4.51152105687874e-05,0.013127123730064
"Denmark","Cyprus",0.00682252663622527,11583000,5.89012055272837e-10,1.71384196828179e-07
"Denmark","Czechia",34.2132347031963,11583000,2.95374554978817e-06,0.000859448128698765
"Denmark","Estonia",0.25578904109589,11583000,2.20831426310878e-08,6.42550798305476e-06
"Denmark","Finland",0.386075494672755,11583000,3.33312177046322e-08,9.69834814835412e-06
"Denmark","France",22.1787202435312,11583000,1.91476476245629e-06,0.000557137019507118
"Denmark","Georgia",0.126246575342466,11583000,1.08992985705314e-08,3.17135704571579e-06
"Denmark","Germany",16562.7948280061,11583000,0.00142992271674058,0.41606305701406
"Denmark","Greece",7.45720608828006,11583000,6.43806102760948e-07,0.000187327561205272
"Denmark","Hungary",204.510299238965,11583000,1.76560734903708e-05,0.00513736849220317
"Denmark","Ireland",13.6812925418569,11583000,1.18115277059975e-06,0.000343678736468048
"Denmark","Italy",1850.59318112633,11583000,0.000159768037738611,0.0464875320997675
"Denmark","Kazakhstan",0.169757077625571,11583000,1.465570902405e-08,4.26435570808619e-06
"Denmark","Latvia",1.71353211567732,11583000,1.47935087255229e-07,4.30445113728613e-05
"Denmark","Lithuania",2.19092207001522,11583000,1.89149794527775e-07,5.50367099028929e-05
"Denmark","Luxembourg",0.0195482496194825,11583000,1.68766723814923e-09,4.91058699960661e-07
"Denmark","Malta",0.040800304414003,11583000,3.5224298035054e-09,1.02491756722666e-06
"Denmark","Montenegro",5.11837168949772,11583000,4.41886531079834e-07,0.000128575243138661
"Denmark","Netherlands",1048.63063318113,11583000,9.05318685298391e-05,0.026341959279855
"Denmark","North Macedonia",13.4565226788432,11583000,1.16174761968775e-06,0.000338032440821617
"Denmark","Norway",0.000517503805175038,11583000,4.46778731913181e-11,1.29998721492015e-08
"Denmark","Other",114.372425570776,11583000,9.8741626151063e-06,0.00287307435219971
